id,area,assumption,value,classification,rationale,decided_by,status
A-001,Scope,Public company used for historical data,Texas Instruments Incorporated (NASDAQ: TXN),User-provided assumption,Second test company for the multi-company engine (Phase 10c),User,Final
A-002,Scope,Historical window,FY2021-FY2025 (fiscal year = calendar year),User-provided assumption,Five reported years (engine layout); covers the 2022 peak and the 2024 trough,Claude (delegated by user),Final
A-003,Timing,Forecast period,FY2026 monthly: Jan-2026 to Dec-2026,User-provided assumption,TI's current fiscal year,Claude (delegated by user),Final
A-004,Timing,Actuals vs forecast split,Jan-May 2026 = simulated actuals; Jun-Dec = forecast,User-provided assumption,The engine layout uses exactly five actual months; as of September this is conservative (June-August not loaded),Claude (delegated by user),Final
A-005,Division,Fictional division,"""Power, Signal & Embedded Division"" - fictional, modeled on TI",User-provided assumption,Matches the three product categories in the project brief,Claude (delegated by user),Final
A-006,Division,Division base-year (FY2025) revenue,$1000.0M,User-provided assumption,Same scale as the Microchip build for comparability,Claude (delegated by user),Final
A-007,Division,Product categories and mapping,1) Power-management chips 2) Signal-chain chips 3) Embedded processors; power and signal = assumed split of TI's Analog segment; embedded = TI's Embedded Processing segment,User-provided assumption,User chose option B (follow the brief) over option A (TI's own segments),User,Final
A-008,Division,Split of TI's Analog segment,Power 50% / Signal chain 50%,User-provided assumption,TI does not report power and signal chain separately; 50/50 is a neutral placeholder - replace if a sourced split is available,Claude (delegated by user),Open - user may change
A-009,Division,Segments not modeled,TI Other segment (5.5% of FY2025 revenue) excluded; three-product mix renormalized to 100%,User-provided assumption,The brief names three product categories only,Claude (delegated by user),Final
A-010,Labeling,Simulated-data disclaimer,Simulated data created for portfolio demonstration. It does not represent nonpublic Texas Instruments information.,User-provided assumption,Project rule,User,Final
A-011,Operations,Base-year product inputs,ASP $0.60 / $0.95 / $3.40; yield 95% / 93% / 88%; variable cost $0.14 / $0.21 / $0.95; fixed $5.8m / $6.2m / $2.5m per month; capacity 88 / 60 / 7 m units per month,Simulated operational data,Calibrated so base-year division gross margin (57.2%) is close to TI's reported FY2025 gross margin (57.0%),Claude (delegated by user),Final
A-012,Operations,Product demand differentials,Power +2 pts / Signal +2 pts / Embedded -6 pts vs division growth,Simulated operational data,TI Q2 FY2026: Analog +26.4% and Embedded Processing +16.1% YoY,Claude (delegated by user),Final
A-013,Operations,Seasonality,Monthly factors 0.94-1.05 (sum = 12.00),Simulated operational data,Calendar-year pattern: soft Q1 start and December dip; Q3 peak,Claude (delegated by user),Final
A-014,Opex,Division base-year opex,R&D $120m (12% of revenue); SG&A $100m (10%),User-provided assumption,TI company-wide FY2025: R&D 11.8% and SG&A 10.5% of revenue,Claude (delegated by user),Final
A-015,Scenarios,Scenario driver values,See Assumptions tab section A (9 drivers x Downside/Base/Upside),User-provided assumption,Each value has its rationale next to it; anchored to TI reported ratios where one exists,Claude (delegated by user),Final
A-016,Operations,Definition of capacity,Capacity = internal final-test capacity (units tested per month),User-provided assumption,Same engine definition as the Microchip build,Claude (delegated by user),Final
A-017,Cash flow,Working-capital days,DSO 40 days; DPO 36 days,User-provided assumption,TI FY2025: receivables / revenue x 365 = 40.5 days; payables / cost of revenue x 365 = 36 days,Claude (delegated by user),Final
A-018,Cash flow,Depreciation,35% of fixed manufacturing cost is depreciation; new capex depreciated over 60 months,User-provided assumption,TI is capital-intensive (depreciation 10.8% of FY2025 revenue),Claude (delegated by user),Final
A-019,Actuals,Simulated actual inputs Jan-May 2026,See Actuals tab (demand +5% / +1% / -5% vs budget; embedded yield 86% vs 88% plan; power utilization 84%),Simulated operational data,Creates a realistic variance story; labeled simulated on every tab,Claude (delegated by user),Final
A-020,Capex project,Hypothetical proposal,Power-management final-test expansion cell: $22.0m equipment + $2.5m install; +6m units/month; +1 pt yield; $1.2m/yr savings; $1.0m/yr maintenance; 6-year life,User-provided assumption,Targets the product with the tightest demand/capacity ratio,Claude (delegated by user),Final
A-021,Capex project,Discount rate and decision criteria,Discount rate 9%; NPV > 0; IRR >= 11%; payback <= 4 years,User-provided assumption,Same decision rule as the Microchip build; TI does not report a WACC,Claude (delegated by user),Final
A-022,Capex project,Power demand growth after FY2026,2% / 7% / 11% per year (Downside / Base / Upside),User-provided assumption,Scenario range around recent analog growth,Claude (delegated by user),Final
A-023,Data,Depreciation line used for historical FCF,Depreciation only (TI prints amortization of capitalized software separately),User-provided assumption,Keeps cf:da = one printed line; amortization falls into other non-cash items,Claude (delegated by user),Final
A-024,Data,Sign convention for interest and restructuring,Interest and debt expense stored negative; restructuring credit (2024) stored negative,User-provided assumption,So pre-tax income = operating profit + non-operating items holds; noted on each row,Claude (delegated by user),Final
