period,line_id,expected_usd_m,second_source
FY2023,net_sales,17519,FY2023 10-K (S-002) R3
FY2023,cost_of_sales,6500,FY2023 10-K (S-002) R3
FY2023,gross_profit,11019,FY2023 10-K (S-002) R3
FY2023,rd,1863,FY2023 10-K (S-002) R3
FY2023,sga,1825,FY2023 10-K (S-002) R3
FY2023,operating_income,7331,FY2023 10-K (S-002) R3
FY2023,net_income,6510,FY2023 10-K (S-002) R3
FY2023,segment:analog,13040,FY2023 10-K (S-002) R34
FY2023,segment:embedded_processing,3368,FY2023 10-K (S-002) R34
FY2023,cf:cfo,6420,FY2023 10-K (S-002) R8
FY2023,cf:capex,-5071,FY2023 10-K (S-002) R8
FY2024,bs:cash,3200,FY2024 10-K (S-004) R6
FY2024,bs:inventories,4527,FY2024 10-K (S-004) R6
FY2024,bs:total_current_assets,15026,FY2024 10-K (S-004) R6
FY2024,bs:total_assets,35509,FY2024 10-K (S-004) R6
FY2024,bs:total_current_liabilities,3643,FY2024 10-K (S-004) R6
FY2023,bs:total_assets,32348,FY2024 10-K (S-004) R6
FY2022,bs:cash,3050,FY2022 10-K (S-003) R6
FY2022,bs:inventories,2757,FY2022 10-K (S-003) R6
FY2022,bs:total_current_assets,14021,FY2022 10-K (S-003) R6
FY2022,bs:total_assets,27207,FY2022 10-K (S-003) R6
FY2022,bs:total_current_liabilities,2985,FY2022 10-K (S-003) R6
