period,line_id,expected_usd_m,second_source
FY2024,net_sales,7634.4,FY2024 10-K (S-002)
FY2024,cost_of_sales,2638.7,FY2024 10-K (S-002)
FY2024,gross_profit,4995.7,FY2024 10-K (S-002)
FY2024,rd,1097.4,FY2024 10-K (S-002)
FY2024,sga,734.2,FY2024 10-K (S-002)
FY2024,operating_income,2571.0,FY2024 10-K (S-002)
FY2024,net_income,1906.9,FY2024 10-K (S-002)
FY2024,segment:mixed_signal_microcontrollers,4272.4,FY2024 10-K (S-002)
FY2024,segment:analog,2016.4,FY2024 10-K (S-002)
FY2024,segment:other,1345.6,FY2024 10-K (S-002)
FY2023,bs:cash,234.0,FY2023 10-K (S-003)
FY2023,bs:receivables,1305.3,FY2023 10-K (S-003)
FY2023,bs:inventories,1324.9,FY2023 10-K (S-003)
FY2023,bs:payables,396.9,FY2023 10-K (S-003)
FY2023,bs:accrued,1323.5,FY2023 10-K (S-003)
FY2023,bs:total_assets,16370.3,FY2023 10-K (S-003)
FY2024,cf:capex,-285.1,FY2024 10-K (S-002)
