id,area,assumption,value,classification,rationale,decided_by,status
A-001,Scope,Public company used for historical data,Microchip Technology Inc (NASDAQ: MCHP),User-provided assumption,Owns wafer fabs and internal test/assembly; many MCUs are Arm-based; files 10-K/10-Q with the SEC,User,Final
A-002,Scope,Historical window,FY2022-FY2026 (fiscal years ending March 31),User-provided assumption,Five years covers the FY2023 peak and the FY2024-FY2025 downturn,Claude (delegated by user),Final
A-003,Timing,Forecast period,FY2027 monthly: Apr-2026 to Mar-2027 (12 months),User-provided assumption,Matches Microchip's current fiscal year; lets the budget-vs-actual comparison use a realistic year-to-date,Claude (delegated by user),Final
A-004,Timing,Actuals vs forecast split,Apr-2026 to Aug-2026 = simulated actuals (5 months YTD); Sep-2026 to Mar-2027 = forecast,User-provided assumption,As of 22-Sep-2026 the August close would be complete; September would not,Claude (delegated by user),Final
A-005,Timing,Month convention,Calendar months (Microchip's own fiscal calendar is not replicated),User-provided assumption,Simpler and auditable; stated in methodology,Claude (delegated by user),Final
A-006,Division,Fictional division,"""Embedded Control Division"" - fictional division modeled on Microchip's business",User-provided assumption,Project requires a fictional division with three product categories,Claude (delegated by user),Final
A-007,Division,Division base-year (FY2026) revenue,"$1,000.0M",User-provided assumption,Round number; about 21% of Microchip FY2026 net sales so it is plausibly one division,Claude (delegated by user),Final
A-008,Division,Product categories,1) Mixed-signal microcontrollers  2) Analog & power management  3) FPGAs,User-provided assumption,Mirror Microchip's reported product lines. FPGAs are part of Microchip's reported 'Other' line and are NOT reported separately,Claude (delegated by user),Final
A-009,Division,Base-year product mix,MCU 49.9756% / Analog & power 28.1980% / FPGA 21.8264%,Calculated value,Microchip FY2026 reported product-line sales / FY2026 net sales (S-001). FPGA share uses the whole 'Other' line as a stand-in,Claude (delegated by user),Final
A-010,Labeling,Simulated-data disclaimer,Simulated data created for portfolio demonstration. It does not represent nonpublic Microchip Technology information.,User-provided assumption,Project data rules,User,Final
A-011,Dashboard,Dashboard technology,Custom static web dashboard (HTML/JS) reading JSON exported from the Excel model; Excel is the single source of truth,User-provided assumption,User wants a modern look instead of Power BI,User,Final
A-012,Sequencing,Build order,Excel model first; dashboard in Phase 7,User-provided assumption,Dashboard reads model outputs; avoids placeholder data,Claude (delegated by user),Final
A-013,Dashboard,DAX / Power Query appendix,Included as docs/powerbi_appendix.md (not run in Power BI),User-provided assumption,Spec asks for DAX measures and Power Query steps,Claude (delegated by user),Final
A-014,Dashboard,Style mockup before build,Skipped by default (no answer); full dashboard built directly,User-provided assumption,Faster iteration on the live page,Claude (delegated by user),Final
A-015,Capex project,Discount rate and capex project specs,Set in Phase 5 (see A-030 to A-033),User-provided assumption,Scenario drivers incl. tax rate set in Phase 2 (A-020),Claude (delegated by user),Final
A-016,Operations,Definition of capacity,Capacity = internal final-test capacity (units tested per month); all division units pass through internal final test,User-provided assumption,Microchip performs ~69% of test internally (S-001); sets up the Phase 5 test-equipment decision,Claude (delegated by user),Final
A-017,Operations,Base-year product inputs,ASP $2.00 / $0.80 / $25.00; yield 92% / 94% / 85%; variable cost $0.31 / $0.15 / $4.70 per unit; fixed cost $9.5m / $5.2m / $4.4m per month; capacity 35.0 / 46.0 / 1.30 m units per month (MCU / Analog & power / FPGA),Simulated operational data,Chosen so base-year gross margin (~58%) is close to Microchip's reported FY2026 57.7% and implied utilization (~65-68%) reflects the downturn,Claude (delegated by user),Final
A-018,Operations,Base-year simplification,Base year FY2026: production = sales (no inventory change); opening FY2027 finished goods = 1.0 month of base-year sales per product,Simulated operational data,Keeps the base year auditable,Claude (delegated by user),Final
